User-ID,Location,Age
5170,"newark, california, usa",18.0
5206,"guadalajara, guadalajara, spain",18.0
5286,"dallas, texas, usa",18.0
5448,"pine bush, new york, usa",14.0
5468,"no comment, wisconsin, usa",15.0
5506,"cortlandt manor, new york, usa",19.0
5513,"salamanca, salamanca, spain",17.0
5653,"sydney, new south wales, australia",13.0
5674,"jackson, new jersey, usa",15.0
5683,"lancaster, pennsylvania, usa",16.0
5702,"sydney, new south wales, australia",14.0
5709,"bayan lepas, penang, malaysia",15.0
5747,"miranda de ebro, burgos, spain",16.0
5792,"toronto, ontario,",16.0
5816,"rennes, bretagne, france",19.0
5830,"sacramento, california, usa",19.0
5861,"rowland heights, california, usa",17.0
5875,"harrisburg, pennsylvania, usa",15.0
5922,"bozeman, montana, usa",19.0
6003,"la mesa, california, usa",15.0
6011,"sterling heights, michigan, usa",15.0
6017,"flintshire, wales, united kingdom",15.0
6019,"forster, new south wales, australia",12.0
6022,"baton rouge, louisiana, usa",18.0
6033,"sydney, new south wales, australia",17.0
6112,"st.petersburg, florida, usa",16.0
6173,"orleans, ontario, canada",16.0
6184,"vienna, virginia, usa",13.0
6193,"brooklyn, new york, usa",17.0
6259,"newmarket, ontario, canada",19.0
6263,"hannover, , germany",19.0
6338,"rochester, new york, usa",18.0
6339,"christchurch, n/a, new zealand",16.0
6347,"quispamsis, new brunswick, canada",19.0
6411,"lyon, rhône, france",17.0
6629,"hazen, north dakota, usa",19.0
6680,"walled lake, michigan, usa",17.0
6682,"los angeles, california, usa",16.0
6831,"yakima, washington, usa",14.0
6840,"gloucester, massachusetts, usa",17.0
6869,"winnipeg, manitoba, canada",15.0
6941,"cincinnati, ohio, usa",17.0
6989,"lehighton, pennsylvania, usa",18.0
7000,"beaconsfield, quebec, canada",14.0
7060,"wild rose, wisconsin, usa",16.0
7161,"milon keynes, buckinghamshire, united kingdom",16.0
7208,"lisboa, n/a, portugal",19.0
7221,"padova, veneto, italy",19.0
7366,"webster, massachusetts, usa",14.0
7398,"naperville, illinois, usa",19.0
7403,"terrell, texas, usa",14.0
7441,"north vancouver, british columbia, canada",19.0
7469,"woodstock, georgia, usa",18.0
7520,"ottawa, ontario, canada",13.0
7667,"barakaldo, vizcaya, spain",16.0
7708,"karlsruhe, baden-wuerttemberg, germany",18.0
7788,"dunedin, otago, new zealand",19.0
7864,"klang, selangor, malaysia",17.0
7875,"pomona, california, usa",19.0
7889,"wengen, bern, switzerland",18.0
7908,"ventura, california, usa",18.0
7942,"el cajon, california, usa",17.0
7946,"braga, braga, portugal",19.0
7965,"hilliard, ohio, usa",15.0
8092,"rubiataba, victoria, brazil",15.0
8094,"ourense, ourense, spain",13.0
8158,"baton rouge, louisiana, usa",18.0
8380,"auburn, california, usa",19.0
8383,"la jolla, california, usa",19.0
8395,"hacienda heights, california, usa",18.0
8448,"valencia, valencia, spain",13.0
8530,"minneapolis, minnesota, usa",16.0
8535,"biel/bienne, bern, switzerland",17.0
8580,"bath, england, united kingdom",19.0
8599,"las vegas, nevada, usa",17.0
8652,"pembroke pines, florida, usa",16.0
8672,"manassas, virginia, usa",17.0
8707,"freiburg, baden-wuerttemberg, germany",19.0
8754,"mondercange, n/a, luxembourg",17.0
8759,"jefferson city, missouri, usa",17.0
8936,"elizabeth city, north carolina, usa",18.0
9094,"albuquerque, new mexico, usa",14.0
9139,"mt. pleasant, michigan, usa",17.0
9200,"columbia, missouri, usa",14.0
9229,"cuernavaca, morelos, mexico",16.0
9239,"vancouver, british columbia, canada",17.0
9258,"ilkley, west yorkshire, united kingdom",14.0
9272,"san diego, california, usa",16.0
9311,"&#321;ód&#378;, lodzkie, poland",17.0
9348,"a coruña, galiza, spain",18.0
9351,"new york, new york, usa",16.0
9426,"arundel, queensland, australia",13.0
9445,"maitland, new south wales, australia",14.0
9446,"southampton east, southampton, bermuda",19.0
9461,"boston, massachusetts, usa",13.0
9490,"banchory, scotland, united kingdom",13.0
9492,"gainesville, florida, usa",19.0
9525,"woodbridge, new jersey, usa",15.0
9557,"cols, ohio, usa",16.0
9635,"greensborough, victoria, australia",17.0
9664,"chapin, south carolina, usa",14.0
9716,"westwood, massachusetts, usa",19.0
9717,"rockford, illinois, usa",16.0
9730,"verdon, nebraska, usa",19.0
9735,"new freedom, pennsylvania, usa",16.0
9787,"baton rouge, louisiana, usa",16.0
9803,"maidenhead, england, united kingdom",18.0
9918,"las vegas, nevada, usa",17.0
9924,"sunnyvale, california, usa",17.0
9953,"kuala lumpur, selangor, malaysia",15.0
10071,"bocholt, nordrhein-westfalen, germany",17.0
10134,"herkimer, new york, usa",19.0
10199,"eltham, victoria, australia",17.0
10315,"calgary, alberta, canada",18.0
10325,"lockport, illinois, usa",18.0
10338,"azusa, california, usa",15.0
10351,"seattle, washington, usa",15.0
10354,"martinsburg, west virginia, usa",15.0
10373,"vienna, virginia, usa",17.0
10493,"ourense, ourense, spain",19.0
10542,"alacant, països catalans, spain",18.0
10561,"lünen, nordrhein- westfalen, germany",16.0
10573,"st georges sur cher, loir-et-cher, france",17.0
10578,"monroe, georgia, usa",16.0
10654,"queenstown, otago, new zealand",16.0
10710,"auburn, california, usa",13.0
10824,"cassino, lazio, italy",18.0
10865,"magdeburg, sachsen-anhalt, germany",14.0
11012,"wismar, mecklenburg-vorpommern, germany",18.0
11032,"adelaide, south australia, australia",13.0
11146,"waldshut-tiengen, baden-wuerttemberg, germany",19.0
11230,"sevrier, haute-savoie, france",15.0
11250,"albuquerque, new mexico, usa",13.0
11321,"dublin, ohio, usa",17.0
11401,"smithville, missouri, usa",17.0
11425,"todd, north carolina, usa",15.0
11464,"calgary, alberta, canada",16.0
11472,"a.c.t, n/a, australia",15.0
11547,"valley springs, california, usa",19.0
11596,"hämeenlinna, häme, finland",19.0
11624,"malaga, malaga, spain",16.0
11768,"jalandhar cantt, punjab, india",14.0
11777,"tampere, pirkanmaa, finland",19.0
11830,"sonoma, california, usa",16.0
11924,"amherst, massachusetts, usa",19.0
12069,"malaga, andalucia, spain",16.0
12081,"schwarme, niedersachsen, germany",19.0
12202,"legazpi city, albay, philippines",19.0
12203,"hull, georgia, usa",16.0
12209,"poughkeepsie, new york, usa",18.0
12246,"karlsruhe, baden-wuerttemberg, germany",15.0
12270,"toronto, ontario, canada",14.0
12272,"ploiesti, prahova, romania",18.0
12273,"gelsenkirchen, nordrhein-westfalen, germany",17.0
12294,"buffalo, new york, usa",19.0
12307,"gold bar, washington, usa",19.0
12333,"epsom, england, united kingdom",18.0
12431,"grosse pointe park, michigan, usa",17.0
12453,"marshalltown, iowa, usa",14.0
12474,"paderborn, nordrhein-westfalen, germany",17.0
12492,"rochester, minnesota, usa",17.0
12538,"byron, minnesota, usa",18.0
12563,"belchertown, massachusetts, usa",14.0
12591,"zwickau, sachsen, germany",14.0
12599,"tucson, arizona, usa",15.0
12710,"san antonio, texas, usa",19.0
12774,"reno, nevada, usa",15.0
12824,"long beach, california, usa",18.0
12890,"herkimer, new york, usa",19.0
12925,"dunedin, otago, new zealand",18.0
12977,"kannur, kerala, india",16.0
13017,"aosta, valle d`aosta, italy",16.0
13088,"piacenza, emilia romagna, italy",14.0
13109,"pittsburgh, pennsylvania, usa",15.0
13200,"muttenz, baselland, switzerland",18.0
13359,"munich, bayern, germany",19.0
13380,"medina, ohio, usa",16.0
13407,"rein-main ab, hessen, germany",14.0
13695,"nice, n/a, france",19.0
13721,"mountlake terrace, washington, usa",17.0
13775,"cave creek, arizona, usa",18.0
13835,"paris, ile de france, france",18.0
13872,"barcelona, catalunya, spain",17.0
13911,"norwich, yukon territory, united kingdom",13.0
13973,"las vegas, nevada, usa",18.0
14005,"campbellsport, wisconsin, usa",19.0
14113,"fuengirola, málaga, spain",16.0
14124,"port huron, michigan, usa",17.0
14159,"adelaide, south australia, australia",13.0
14269,"bayonne, new jersey, usa",15.0
14283,"bishops stortford, england, united kingdom",18.0
14508,"pascoag, rhode island, usa",19.0
14514,"london, n`a, united kingdom",18.0
14538,"fairbanks, alaska, usa",14.0
14541,"mislata, valencia, spain",17.0
14573,"newburgh, new york, usa",19.0
14618,"mijas costa, málaga, spain",16.0
14630,"saskatoon, saskatchewan, canada",13.0
14640,"aliso viejo, california, usa",14.0
14641,"crawfordville, florida, usa",17.0
14643,"sydney, new south wales, australia",18.0
14655,"willow street, pennsylvania, usa",16.0
14681,"griffin, georgia, usa",18.0
14695,"townsville, queensland, australia",14.0
14710,"minonk, illinois, usa",18.0
14756,"saskatoon, saskatchewan, canada",19.0
14764,"lacey, washington, usa",14.0
14791,"harrodsburg, kentucky, usa",16.0
14796,"lexington, kentucky, usa",17.0
14875,"baton rouge, louisiana, usa",18.0
14923,"sevilla, andalucia, españa",17.0
15117,"chesapeake, virginia, usa",15.0
15142,"vaasa, etelä-pohjanmaa, finland",18.0
15146,"brisbane, queensland, australia",15.0
15158,"weißenfels, sachsen-anhalt, germany",19.0
15230,"calgary, alberta, canada",19.0
15333,"las vegas, nevada,",16.0
15336,"eau claire, wisconsin, usa",16.0
15388,"melbourne, victoria, australia",19.0
15412,"madrid, madrid, spain",17.0
15447,"brunei, brunei, brunei",18.0
15476,"porto, porto, portugal",17.0
15496,"pottstown, pennsylvania, usa",18.0
15506,"lagos, n/a, nigeria",19.0
15508,"madrid, madrid, spain",17.0
15542,"vva de la serena, badajoz, spain",18.0
15562,"austin, texas, usa",17.0
15575,"philadelphia, pennsylvania, usa",19.0
15583,"santa ana, california, usa",14.0
15722,"siberia, new york, usa",19.0
15834,"cleveland, tennessee, usa",15.0
15844,"manchester, lancashire, united kingdom",19.0
15962,"saskatoon, saskatchewan, canada",18.0
16183,"glen rock, new jersey, usa",14.0
16249,"cincinnati, ohio, usa",19.0
16260,"fullerton, california, usa",19.0
16326,"moe, victoria, australia",15.0
16338,"baton rouge, louisiana, usa",17.0
16451,"victoria, british columbia, canada",18.0
16542,"nashville, tennessee, usa",18.0
16566,"augsburg, bayern, germany",19.0
16649,"pembroke pines, florida, usa",17.0
16783,"lebanon, new jersey, usa",14.0
16790,"cambridge, ontario, canada",15.0
16830,"timisoara, friuli venezia giulia, romania",17.0
16882,"lleida, lleida, catalunya, spain",16.0
16899,"katonah, new york, usa",13.0
16923,"salop, england, united kingdom",16.0
17007,"pickering, ontario, canada",18.0
17127,"castelfranco veneto, veneto, italy",16.0
17141,"méxico, d.f, mexico",18.0
17158,"chandler, arizona, usa",16.0
17196,"grand rapids, michigan, usa",14.0
17280,"angra do heroísmo, açores, portugal",18.0
17316,"melbourne, victoria, australia",17.0
17361,"putrajaya, w.p. putrajaya, malaysia",17.0
17483,"adelaide, south australia, australia",14.0
17492,"rome, lazio, italy",18.0
17498,"green bay, wisconsin, usa",19.0
17541,"crosslake, minnesota, usa",13.0
17590,"usa, california, usa",16.0
17635,"portland, oregon, usa",16.0
17637,"szczecin, zachodniopomorskie, poland",17.0
17763,"springfield, missouri, usa",14.0
17781,"pittsburg, california, usa",19.0
17836,"bloomington, indiana, usa",17.0
17890,"wisconsin rapids, wisconsin, usa",17.0
17928,"onalaska, wisconsin, usa",13.0
17960,"west berlin, new jersey, usa",17.0
18018,"bezons, \n/a\"", france""",16.0
18206,"brisbane, queensland, australia",17.0
18256,"fort frances, ontario, canada",16.0
18356,"trois-rivières, quebec, canada",19.0
18596,"mattison, new york, usa",19.0
18641,"thousand oaks, california, usa",18.0
18650,"auburn, washington, usa",14.0
18697,"calgary, alberta, canada",19.0
18780,"zaragoza, zaragoza, spain",17.0
18782,"garden city, kansas, usa",17.0
18795,"waterloo, ontario, canada",14.0
18802,"st. louis, missouri, usa",16.0
18805,"winnipeg, manitoba, canada",15.0
18916,"bay minette, alabama, usa",18.0
19010,"rotterdam, zuid-holland, netherlands",18.0
19044,"viersen, nordrhein-westfalen, germany",17.0
19050,"potomac falls, virginia, usa",16.0
19097,"genova, liguria, italy",15.0
19114,"campodarsego, veneto, italy",18.0
19132,"san lorenzo, california, usa",17.0
19664,"katonah, new york, usa",19.0
19753,"st.louis, missouri, usa",14.0
19874,"norcross, georgia, usa",15.0
19905,"mackay, queensland, australia",16.0
19984,"parma, emilia romagna, italy",19.0
20029,"troy, michigan, usa",16.0
20056,"nottingham, england, united kingdom",15.0
20220,"fredrikstad, østfold, norway",18.0
20337,"victoria, british columbia, canada",16.0
20342,"york, n/a, united kingdom",14.0
20391,"bismarck, north dakota, usa",16.0
20407,"paris, paris, france",19.0
20508,"merion, pennsylvania, usa",19.0
20534,"erie, pennsylvania, usa",16.0
20541,"portland, oregon, usa",14.0
20542,"williamsville, new york, usa",15.0
20546,"coral springs, florida, usa",14.0
20620,"shaker heights, ohio, usa",16.0
20633,"zargoza, aragon, spain",13.0
20665,"lünen, nordrhein-westfalen, germany",16.0
20899,"hatfield, pennsylvania, usa",19.0
21141,"harrison, ohio, usa",18.0
21156,"bainbridge island, washington, usa",19.0
21187,"baton rouge, louisiana, usa",18.0
21228,"snodland, kent, united kingdom",13.0
21270,"peterborough, ontario, canada",18.0
21351,"rotorua, bay of plenty, new zealand",13.0
21398,"perth, western australia, australia",15.0
21400,"scott afb, illinois, usa",19.0
21479,"temecula, california, usa",16.0
21480,"boston, pennsylvania, usa",14.0
21575,"albuquerque, new mexico, usa",14.0
21623,"kalorama, victoria, australia",15.0
21717,"jackson, new jersey, usa",19.0
21745,"newcastle, england, united kingdom",13.0
21790,"riverside, california, usa",15.0
21811,"avon, england, united kingdom",17.0
21895,"olyphant, pennsylvania, usa",16.0
21905,"st. charles, missouri, usa",18.0
21962,"lincoln, nebraska, usa",17.0
21991,"baton rouge, louisiana, usa",18.0
22001,"louisville, kentucky, usa",15.0
22217,"prince george, british columbia, canada",17.0
22248,"vienna, vienna, austria",18.0
22281,"torrox, malaga, spain",19.0
22392,"campinas, são paulo, brazil",17.0
22486,"victoria, british columbia, canada",17.0
22503,"short hills, new jersey, usa",18.0
22521,"montgomery, alabama, usa",18.0
22854,"toronto, ontario, canada",19.0
22917,"alvin, texas, usa",16.0
23002,"stillwater lake, nova scotia, canada",17.0
23021,"san diego, california, usa",17.0
23325,"vitoria - gasteiz, país vasco, álava, spain",17.0
23339,"largo, florida, usa",17.0
23399,"carvin, \n/a\"", france""",18.0
23449,"bilbao, bizkaia, spain",19.0
23650,"mountain view, california, usa",19.0
23852,"stade, niedersachsen, germany",17.0
24118,"toronto, ontario, canada",15.0
24140,"myerstown, pennsylvania, usa",14.0
24209,"wilsonville, oregon, usa",13.0
24256,"napa, california, usa",15.0
24262,"north brunswick, new jersey, usa",16.0
24386,"sao paulo, sao paulo, brazil",15.0
24420,"fuengirola, andalucia, spain",15.0
24497,"van nuys, california, usa",15.0
24633,"boca raton, florida, usa",13.0
24639,"denmark, maine, usa",15.0
24830,"dallgow, brandenburg, germany",16.0
25051,"baltimore, maryland, usa",14.0
25242,"napa, california, usa",14.0
25257,"mason, tennessee, usa",15.0
25419,"adelaide, south australia, australia",16.0
25550,"n. olmsted, ohio, usa",17.0
25672,"ottawa, ontario, canada",14.0
25751,"st. paul, minnesota, usa",14.0
25806,"west harrison, indiana, usa",17.0
25904,"carmel, indiana, usa",16.0
25967,"peterborough, ontario, canada",19.0
26006,"dunedin, otago, new zealand",12.0
26053,"clearwater, florida, usa",14.0
26057,"halifax, nova scotia, canada",18.0
26070,"houston, texas, usa",14.0
26125,"lee, massachusetts, usa",18.0
26136,"canberra, n/a, australia",14.0
26192,"apo, rheinland-pfalz, germany",18.0
26196,"fall river, massachusetts, usa",17.0
26197,"new bern, north carolina, usa",14.0
26225,"ames, iowa, usa",15.0
26300,"yazoo city, mississippi, usa",17.0
26307,"donstia - san sebastian, gipuzkoa, spain",15.0
26335,"olympia, washington, usa",19.0
26436,"murcia, murcia, spain",18.0
26561,"cincinnati, ohio, usa",17.0
26570,"b&#322;a&#380;owa, woj. podkarpackie, poland",15.0
26618,"coquitlam, british columbia, canada",18.0
26664,"adelaide, south australia, australia",15.0
26674,"beaumaris, victoria, australia",15.0
26721,"duluth, minnesota, usa",19.0
26728,"roma, lazio, italy",17.0
26730,"herculaneum, missouri, usa",13.0
26748,"ypsilanti, michigan, usa",16.0
26792,"lisboa, estremadura, portugal",15.0
26806,"kempsey, new south wales, australia",15.0
26834,"londinium, england, united kingdom",17.0
26838,"swarthmore, pennsylvania, usa",16.0
26921,"rockaway, new jersey, usa",16.0
27031,"barcelona, cataluña, spain",19.0
27033,"melbourne, victoria, australia",17.0
27090,"athens, n/a, greece",19.0
27168,"scottsdale, arizona, usa",19.0
27204,"auburndale, florida, usa",18.0
27291,"joplin, missouri, usa",19.0
27313,"miami, florida, usa",14.0
27438,"orlando, florida, usa",13.0
27458,"tacoma, washington, usa",16.0
27470,"sooke, british columbia, canada",19.0
27477,"gaston, south carolina, usa",13.0
27478,"sterling, virginia, usa",18.0
27517,"midland, michigan, usa",15.0
27530,"oregon city, oregon, usa",17.0
27531,"whittier, california, usa",16.0
27540,"twin lake, michigan, usa",15.0
27586,"two harbors, minnesota, usa",15.0
27596,"gurnee, illinois, usa",15.0
27606,"seattle, washington, usa",15.0
27612,"albuquerque, new mexico, usa",15.0
27616,"covington, georgia, usa",18.0
27628,"aurora, ohio, usa",18.0
27706,"wendeburg, niedersachsen, germany",18.0
27739,"berry, new south wales, australia",14.0
27769,"montreal, queensland, canada",13.0
27944,"rodenberg, niedersachsen, germany",14.0
27955,"coal township, pennsylvania, usa",16.0
28006,"jacksonville, florida, usa",18.0
28023,"livermore, california, usa",19.0
28037,"sabadell, catalunya, spain",16.0
28143,"san diego, california, usa",17.0
28156,"mem martins, sintra, portugal",14.0
28310,"hollywood, california, usa",18.0
28360,"oakwood, georgia, usa",15.0
28429,"zagreb, n/a, croatia",18.0
28456,"orangeville, ontario, canada",14.0
28501,"emsbüren, niedersachsen, germany",18.0
28552,"hiram, ohio, usa",18.0
28594,"thunder bay, ontario, canada",18.0
28630,"valhalla, new york, usa",18.0
28648,"kalona, iowa, usa",17.0
28814,"hobart, tasmania, australia",13.0
28856,"latinne, n/a, belgium",18.0
28888,"winter park, florida, usa",17.0
28973,"walnut creek, california, usa",19.0
29030,"pacific palisades, california, usa",14.0
29114,"toronto, ontario, canada",12.0
29173,"shaker heights, ohio, usa",14.0
29178,"n/a, n/a, usa",17.0
29228,"higganum, connecticut, usa",19.0
29270,"tampa, florida, usa",19.0
29277,"melbourne, victoria, australia",18.0
29370,"duluth, minnesota, usa",19.0
29396,"alb, new mexico, usa",15.0
29452,"sacramento, california, usa",17.0
29656,"_____, ohio, usa",16.0
29677,"snohomish, washington, usa",16.0
29721,"agoura, california, usa",14.0
29891,"vancouver, british columbia, canada",13.0
30042,"alpharetta, georgia, usa",19.0
30055,"düsseldorf, nordrhein-westfalen, germany",17.0
30125,"knox, indiana, usa",15.0
30140,"portland, oregon, usa",17.0
30153,"chatham, virginia, usa",13.0
30154,"jackson, michigan, usa",19.0
30214,"palmdale, california, usa",15.0
30231,"tehran, \n/a\"", iran""",18.0
30249,"vilnius, n/a, lithuania",16.0
30310,"anaheim, california, usa",19.0
30399,"sterling, illinois, usa",15.0
30427,"auckland, n/a, new zealand",13.0
30455,"pittsburgh, pennsylvania, usa",12.0
30467,"auckland, n/a, new zealand",15.0
30495,"charleston, south carolina, usa",19.0
30558,"lawndale, california, usa",17.0
30581,"welland, ontario, canada",18.0
30642,"omaha, nebraska, usa",18.0
30779,"petawawa, ontario, canada",18.0
31023,"niles, illinois, usa",16.0
31059,"prestonsburg, kentucky, usa",12.0
31060,"westfield, indiana, usa",14.0
31104,"woodstock, connecticut, usa",18.0
31116,"boca, florida, usa",15.0
31220,"gold coast, queensland, australia",14.0
31332,"cottage grove, oregon, usa",18.0
31338,"istanbul, istanbul, turkey",15.0
31639,"cincinnati, ohio, usa",17.0
31709,"ann arbor, michigan, usa",13.0
31763,"oakdale, minnesota, usa",15.0
31767,"bismarck, north dakota, usa",15.0
31810,"sostine, england, lithuania",17.0
31811,"sofia, n/a, bulgaria",15.0
31841,"eugene, oregon, usa",19.0
31875,"comanche, texas, usa",15.0
31900,"levittown, new york, usa",12.0
31934,"selangor, kuala lumpur, malaysia",13.0
31970,"gastonia, north carolina, usa",15.0
31979,"new york, new york, usa",13.0
31983,"byron, minnesota, usa",14.0
32005,"roseville, california, usa",14.0
32007,"ankara, ankara, turkey",18.0
32027,"richmond, virginia, usa",15.0
32067,"napa, california, usa",14.0
32089,"elk grove, california, usa",17.0
32135,"golden, colorado, usa",14.0
32144,"coloado springs, colorado, usa",14.0
32192,"rochester, washington, usa",18.0
32217,"lafayette, louisiana, usa",17.0
32356,"newell, west virginia, usa",18.0
32439,"wrexham, wales, united kingdom",17.0
32450,"nashville, tennessee, usa",15.0
32467,"carlisle, pennsylvania, usa",17.0
32483,"barcelona, catalonia, spain",18.0
32505,"san sebastian, guipuzcoa, spain",14.0
32546,"east greenwich, rhode island, usa",16.0
32569,"richmond hill, ontario, canada",19.0
32570,"waging am see, bayern, germany",14.0
32599,"york, south carolina, usa",17.0
32671,"fresno, california, usa",16.0
32694,"san diego, california, usa",19.0
32714,"cesson-sévigné, bretagne, france",17.0
32834,"herkimer, new york, usa",19.0
32914,"chesterfield, virginia, usa",17.0
32930,"folsom, california, usa",18.0
33131,"edmonton, alberta, canada",19.0
33137,"evanston, illinois, usa",18.0
33155,"raleigh, north carolina, usa",14.0
33206,"a  coruña, a coruña, spain",14.0
33244,"navarre, florida, usa",14.0
33297,"sydney, new south wales, australia",18.0
33365,"highlands, new jersey, usa",17.0
33384,"lincoln, nebraska, usa",18.0
33398,"westernville, new york, usa",14.0
33567,"port washington, new york, usa",16.0
33845,"surrey, british columbia, canada",13.0
33855,"winfield, illinois, usa",19.0
33890,"chandler, arizona, usa",18.0
33892,"burnaby, british columbia, canada",14.0
33980,"oakland, california, usa",18.0
33993,"anaheim, california, usa",18.0
34032,"houston, texas, usa",16.0
34133,"colorado springs, colorado, usa",19.0
34175,"maplewood, minnesota, usa",18.0
34216,"toronto, ontario, canada",18.0
34256,"los angeles, california, usa",19.0
34316,"augusta, georgia, usa",16.0
34375,"thunder bay, ontario, canada",15.0
34569,"napa, california, usa",15.0
34627,"leesburg, virginia, usa",19.0
34640,"matosinhos, porto, portugal",15.0
34702,"napa, california, usa",15.0
34740,"sidney, ohio, usa",17.0
34827,"oviedo, asturias, spain",19.0
34865,"móstoles, madrid, spain",15.0
34890,"oakville, ontario, canada",19.0
34904,"barcelona, cataluña, spain",17.0
34908,"thorigné-fouillard, bretagne, france",16.0
35045,"san francisco, california, usa",18.0
35081,"great falls, virginia, usa",16.0
35099,"jena, thueringen, germany",19.0
35305,"wellington, new zealand, new zealand",13.0
35339,"jackson, tennessee, usa",16.0
35372,"mt gravatt, queensland, australia",14.0
35406,"paris, ile de france, france",19.0
35459,"augsburg, bayern, germany",13.0
35537,"goshen, indiana, usa",14.0
35655,"regina, saskatchewan, canada",15.0
35800,"marysville, washington, usa",16.0
35856,"astillero, cantabria, spain",15.0
35870,"benalmadena, malaga, sri lanka",17.0
35896,"pender island, british columbia, canada",18.0
35910,"bakersfield, california, usa",16.0
35974,"mataró, barcelona, catalunya",17.0
36114,"royal oak, michigan, usa",15.0
36313,"raleigh, ,",15.0
36392,"beecroft, new south wales,",15.0
36440,"naples, florida, usa",19.0
36458,"los angeles, california, usa",18.0
36518,"kitzingen, bayern, germany",15.0
36753,"bedford, england, united kingdom",14.0
36962,"mishawaka, indiana, usa",18.0
36972,"coquitlam, british columbia, canada",15.0
37202,"cedarville, ,",14.0
37324,"laramie, wyoming, usa",16.0
37332,"springfield, virginia, usa",18.0
37358,"l`assomption, quebec, canada",19.0
37437,"napa, california, usa",15.0
37507,"ottawa, ontario, canada",18.0
37550,"eugene, oregon, usa",19.0
37644,"sudbury, massachusetts, usa",18.0
37689,"galt, california, usa",13.0
